"WorkItemId","Author","Date","CommentHtml"
"2748673","Joseph Estrella","2026-08-03T23:34:56.587Z","<div>08/04 - Test scripting is already completed.</div>"
"2748674","Joseph Estrella","2026-08-03T23:36:01.933Z","<div>08/04 - Baseline and Load Test are in progress. ETC is today (Aug 04).</div>"
"2750331","Lotte Morales","2026-09-01T02:01:59.527Z","<div>Started Standard 26.4 Runs Today</div>"
"2750331","Lotte Morales","2026-09-10T04:00:43.21Z","<div>3 Use Case Steps and Scripts - Done</div>"
"2750332","Lotte Morales","2026-09-01T02:02:49.513Z","<div><span style=""display:inline !important;"">Started Standard 26.4 Runs Today</span><br> </div>"
"2750332","Lotte Morales","2026-09-08T06:09:41.953Z","<div>Still In Progress of Script Execution - Encountering as lot of errors - deadlocks and timeout issues</div>"
"2750332","Lotte Morales","2026-09-10T04:28:46.913Z","<div>Added September 8 Tests with run results for Batch;</div><div>Added Performance Validation ongoing tests<br>Added Bugs</div>"
"2750332","Lotte Morales","2026-09-11T07:39:41.363Z","<div>Added September 11 Morning Run&nbsp;</div>"
"2750332","Lotte Morales","2026-09-14T11:27:21.74Z","<div>Filed&nbsp;<a href=""https://tfs.deltek.com/tfs/Deltek/Vantagepoint/_workitems/edit/2875851"" target=_blank rel=""noopener noreferrer"" style=""box-sizing:border-box;font-size:14.6667px;"">Bug 2875851</a><span style=""box-sizing:border-box;font-size:11pt;"">: Performance - HTTP 500 — Dashpart Data Retrieval Timed Out When 15 Users Simultaneously Load High Volume Dashboards<br><br>Posted Results for Performance Validation of Dashboard Export Feature</span></div>"
"2798284","Joseph Estrella","2026-07-11T14:09:02.607Z","Copied from <a href=""x-mvwit:workitem/2748583"">Product Backlog Item 2748583</a>"
"2798285","Joseph Estrella","2026-07-11T14:09:33.917Z","Copied from <a href=""x-mvwit:workitem/2748583"">Product Backlog Item 2748583</a>"
"2817143","Joseph Estrella","2026-08-04T01:18:44.837Z","<div>08/04 - Test scripting is in progress.</div>"
"2817143","Joseph Estrella","2026-09-09T00:49:42.273Z","<div>09/08 - Scripting already completed.&nbsp;<span style=""display:inline !important;"">However, there is another scenario requested by the team to be tested which requires new script.</span></div>"
"2817143","Joseph Estrella","2026-09-15T00:29:56.49Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">09/15 - Test scripting is set to In Progress again due to the new test case requested by Cobra team.&nbsp;</span><br></div>"
"2817144","Joseph Estrella","2026-08-04T01:19:18.313Z","<div>08/04 - Test execution will start once the test scripts are ready.</div>"
"2817144","Joseph Estrella","2026-09-09T00:48:58.103Z","<div>09/08 - Test Result is already shared to stakeholder for review. However, there is another scenario requested by the team to be tested.</div>"
"2817144","Joseph Estrella","2026-09-15T00:29:03.43Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">09/15 - Test execution is in progress was still waiting for the feedback from the stakeholder and also for pending for the new test case script to be executed once done.</span><br></div>"
"2823406","Almar Matira","2026-07-24T04:38:38.433Z","<div>Ongoing Troubleshooting by DBA to synch MRP databases</div>"
"2823406","Almar Matira","2026-08-17T10:42:52.943Z","<div>Cannot run a test, environment is sharing resources with another environment that is being used right now by QE.</div>"
"2823406","Almar Matira","2026-08-24T07:15:52.583Z","<div>Setting to done. we will settle now with the current progress we covered.</div>"
"2824776","Lotte Morales","2026-09-01T00:26:42.813Z","<div>Started Smoke Test and First Weekend Execution</div>"
"2824776","Lotte Morales","2026-09-08T06:27:54.98Z","<div>Already updated 3 scripts based on new build recording; We have 15 scripts left to debug and update</div>"
"2824776","Lotte Morales","2026-09-15T01:49:40.01Z","<div>Added 4 Scripts assigned to myself for rescripting</div>"
"2824777","Lotte Morales","2026-09-01T00:26:53.053Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">Started Smoke Test and First Weekend Execution</span><br></div>"
"2824777","Lotte Morales","2026-09-08T06:13:27.52Z","<div>Postponed Script Debugging - Need to focus on Scalability's new use cases first</div>"
"2824777","Lotte Morales","2026-09-10T04:53:46.553Z","<div>Added First Weekend Run Result Test; And results<br></div><div>Added related Bug<br>Failed Scripts are Expected; Some have pending bugs, some needs debugging/script updates&nbsp;</div>"
"2824777","Lotte Morales","2026-09-14T10:12:22.117Z","<div>Added Sep 12 Run; No results added yet;</div>"
"2826651","Almar Matira","2026-08-17T10:45:29.833Z","<div>Working on TSWFL01 scripting conversion for GCE.</div>"
"2826651","Almar Matira","2026-09-08T23:58:31.117Z","<div>Working on TSWFL01 scripting for DeltekDev.</div>"
"2826651","Almar Matira","2026-09-10T02:54:17.93Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">Done with TSWFL01 scripting for DeltekDev. 6 new scripts added.</span><br></div>"
"2826824","Lotte Morales","2026-08-18T08:24:39.333Z","<div>SQL Agent Job - In Progress </div>"
"2827933","Almar Matira","2026-08-26T00:53:56.693Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">We will not proceed with the TSWFL01 scripting and execution for this version. the environment will now be upgraded to 2026.4.</span><br> </div>"
"2829296","Almar Matira","2026-07-30T06:27:08.397Z","Copied from <a href=""x-mvwit:workitem/2828066"">Product Backlog Item 2828066</a>"
"2829299","Almar Matira","2026-07-30T06:30:11.347Z","Copied from <a href=""x-mvwit:workitem/2829296"">Product Backlog Item 2829296</a>"
"2831364","Lotte Morales","2026-08-03T02:05:20.75Z","<div>Uploaded and Raised a PR<br></div>"
"2831364","Lotte Morales","2026-08-18T08:28:35.913Z","<div>SQL Agent Job - In Progress</div>"
"2831364","Lotte Morales","2026-08-24T09:08:59.757Z","<div>Added SQL Agent Job but encountered &quot;Access Denied' issue upon running; reached out to Garima</div>"
"2831364","Lotte Morales","2026-09-08T06:18:15.77Z","<div>Still encountering issues for the SQL Agent Job - not a priority to fix right now</div>"
"2831364","Lotte Morales","2026-09-15T02:03:15.22Z","<div>Will work on updating SQL Agent Job today to be able to present updates in the weekly meeting later</div>"
"2832461","Joseph Estrella","2026-08-04T00:55:34.827Z","<div>08/04 - Test scripting is not yet started.</div>"
"2832461","Joseph Estrella","2026-09-09T01:05:18.167Z","<div>09/08 - Test scripting is in progress with 61% completion. There are issues encountered in Open Plan and MS Project Server that is being investigated by the Acumen Team.</div>"
"2832461","Joseph Estrella","2026-09-15T00:15:38.403Z","<div>09/15 - Test scripting is in progress with 92% completion. 2 scripts were deferred to Q4. 1 script is blocked due to error encountered. Bug 2875262 was logged in TFS.</div>"
"2832462","Joseph Estrella","2026-08-04T00:59:17.323Z","<div>08/04 - Test execution will start once the test scripts are completed.</div>"
"2832462","Joseph Estrella","2026-09-15T00:17:30.687Z","<div>09/15 - Test execution is in progress.&nbsp; Pending on the test script (Scr 28) that has issue in scripting.</div>"
"2832464","Joseph Estrella","2026-08-04T01:04:45.043Z","<div>08/04 - Test scripting is not yet started.</div>"
"2832464","Joseph Estrella","2026-09-09T01:03:35.06Z","<div>09/08 - Test scripting is in progress with 61% completion. There are issues encountered in Open Plan and MS Project server that is being taking a look by Acumen Team.</div>"
"2832464","Joseph Estrella","2026-09-15T00:20:51.733Z","<div>09/15 - Test scripting is in progress with 75% completion. 3 new test case were added for Acumen 8.12 version. Test document and demo were already provided last Sep 14. Bug 2875262 was logged for script 28.</div>"
"2832466","Joseph Estrella","2026-09-15T00:22:17.36Z","<div>09/25 - Test execution is in progress for those completed test scripts.</div>"
"2832774","Almar Matira","2026-08-04T07:14:25.583Z","Copied with all links from <a href=""x-mvwit:workitem/2827935"">Task 2827935</a>"
"2832774","Almar Matira","2026-08-17T10:44:23.737Z","<div>working on TSWFL01 scripting.</div>"
"2832774","Almar Matira","2026-08-26T00:53:22.557Z","<div>We will not proceed with the TSWFL01 scripting and execution for this version. the environment will now be upgraded to 2026.4.</div>"
"2839271","Leo Banta","2026-09-08T16:10:54.467Z","<div>09/03/2026 - Network View and Shared FillDown ORA scripts has been updated.</div><div><span style=""display:inline !important;"">09/02/2026 - Barchart View and Histogram ORA scripts has been updated.</span><br></div>"
"2839272","Leo Banta","2026-09-08T16:13:11.957Z","<div>09/04/2026 -&nbsp;TEST B-1: OPP UI Suite for ORA has been completed.</div>"
"2848985","Almar Matira","2026-08-17T10:54:32.447Z","<div>Playwright script created.&nbsp;</div>"
"2848985","Almar Matira","2026-08-20T07:24:05.567Z","<div>working on a new playwright + artillery script for scenario: nonconformance</div>"
"2848985","Almar Matira","2026-09-01T01:37:53.68Z","<div>Initial work is done as per JV.</div>"
"2850426","Leo Banta","2026-09-08T16:07:02.963Z","<div>09/08/26 - ORA Import XML and Export XML scripts completed<br>09/07/26 - SQL Import XML and Export XML scripts Completed</div>"
"2850427","Leo Banta","2026-09-08T16:08:19.783Z","<div>09/08/2026 - Initial Performance Test Results has been shared for review.</div>"
"2850427","Leo Banta","2026-09-14T21:59:05.99Z","<div>09/11/2026 - Based on what was discussed on the meeting an updated version will be implemented and rerun will be conducted without the Dela process.</div>"
"2850427","Leo Banta","2026-09-14T21:59:56.597Z","<div>09/14/2026 - Rerun on ORA and SQL without Dela was completed.</div>"
"2850427","Leo Banta","2026-09-14T22:35:14.91Z","<div>09/15/2026 - Rerun results has been shared to the team for review.</div>"
"2850699","Leo Banta","2026-08-18T02:36:31.233Z","<div><span style=""display:inline !important;"">2026/08/14 - Started creation of new Medium Tenant</span><br style=""box-sizing:border-box;""><span style=""display:inline !important;"">2026/08/13 - Assisted in creation of Small Tenant</span><br> </div>"
"2851350","Lotte Morales","2026-08-18T08:29:30.22Z","Copied with all attachments and links from <a href=""x-mvwit:workitem/2831364"">Task 2831364</a>"
"2853195","Joseph Estrella","2026-08-19T13:29:01.233Z","Copied from <a href=""x-mvwit:workitem/2748623"">Product Backlog Item 2748623</a>"
"2853213","Joseph Estrella","2026-09-09T00:13:47.96Z","<div>Able to run the 1, 5, 10 and 25 user load test.</div><div>Already reviewed by the stakeholders and they are good with the results.</div>"
"2855587","Almar Matira","2026-08-24T07:25:00.063Z","<div>Started working today. coverage: CJOBS with 3 configurations:&nbsp;<br><br></div><div><span>ON = 2308013 (Ph1), ON = 1532912 (Ph2)<br>
ON = 2308013 (Ph1), OFF = 1532912 (Ph2)<br>
OFF = 2308013 (Ph1), OFF = 1532912 (Ph2)</span><br></div>"
"2855587","Almar Matira","2026-08-31T12:44:08.29Z","Done with the following:<br><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;""><ol><li><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">ON = 2308013 (Ph1), ON = 1532912 (Ph2)</span></li><li><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;""><span style=""display:inline !important;"">OFF = 2308013 (Ph1), OFF = 1532912 (Ph2)</span><br></span></li></ol></span>"
"2855587","Almar Matira","2026-09-08T05:30:14.86Z","<div>I still cannot run the test case for&nbsp;<span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">ON = 2308013 (Ph1), OFF = 1532912 (Ph2). The database restoration process is still encountering problems, QE have raised it to Cloud OPS and pending resolution.</span></div>"
"2855587","Almar Matira","2026-09-15T00:11:10.963Z","<div>Test completed.</div>"
"2855591","Almar Matira","2026-08-24T07:29:08.88Z","<div>started work today. Asking ops to configure the DB.</div>"
"2855591","Almar Matira","2026-08-31T12:46:08.55Z","<div><span style=""color:rgba(0, 0, 0, 0.9);display:inline !important;"">Done with the following:</span><br style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);""><span style=""box-sizing:border-box;margin:0px;color:rgba(0, 0, 0, 0.9);""><ol style=""box-sizing:border-box;padding-left:25px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">ON = 2308013 (Ph1), ON = 1532912 (Ph2)</span></li></ol><div>Filed a zendesk ticket to investigate the environment as we are blocked with the last test case.</div></span></div>"
"2855591","Almar Matira","2026-09-04T01:15:36.607Z","<div>Completed all tests requested by product team. To compile all the trace files requested by developer.</div>"
"2865695","Almar Matira","2026-09-09T00:01:47.827Z","<div>Completed execution.</div>"
"2865696","Almar Matira","2026-09-14T09:41:58.72Z","<div>testing completed. </div>"
"2865697","Almar Matira","2026-09-09T00:03:24.14Z","<div>Testing In Progress.</div>"
"2865697","Almar Matira","2026-09-14T09:42:18.54Z","<div>testing completed.</div>"
"2869975","Lotte Morales","2026-09-08T03:46:47.52Z","Copied from <a href=""x-mvwit:workitem/2745581"">Product Backlog Item 2745581</a>"
"2869979","Lotte Morales","2026-09-08T03:50:43.373Z","Copied from <a href=""x-mvwit:workitem/2750331"">Task 2750331</a>"
"2869979","Lotte Morales","2026-09-08T06:15:46.91Z","<div>Investigation of intermittent errors not related to SQL Server 2025 Upgrade. Closing this task now.</div>"
"2871248","Almar Matira","2026-09-09T00:14:10.84Z","<div>ON HOLD. awaiting response from DBA to prepare the test user accounts. Zendesk ticket filed since last week.</div>"
"2871249","Almar Matira","2026-09-14T09:40:01.677Z","<div>no update from DBA. zendesk ticket not moving</div>"
"2871251","Joseph Estrella","2026-09-09T00:18:14.11Z","Copied from <a href=""x-mvwit:workitem/2853195"">Product Backlog Item 2853195</a>"
"2871266","Joseph Estrella","2026-09-15T00:35:24.64Z","<div>09/15 - Test scripting is completed.</div>"
"2871267","Joseph Estrella","2026-09-15T00:31:23.28Z","<div>09/15 - Test execution is completed. Test Result analysis is in progress.</div>"
"2871269","Joseph Estrella","2026-09-09T00:42:15.02Z","Copied from <a href=""x-mvwit:workitem/2748606"">Product Backlog Item 2748606</a>"
"2871288","Almar Matira","2026-09-15T00:08:16.48Z","<div>no update for this week.</div>"
